kind,graph_id,lbs_code,attachment_rules_n,avg_degree_undirected,avg_in_degree_directed,avg_out_degree_directed,cc_count_undirected,cc_largest_undirected,constraints_n,deg_max_undirected,deg_med_undirected,deg_min_undirected,density_undirected_simple,edge_MEMA,edge_MEME,edge_MENE,edge_METR,edge_count,edge_pairs_undirected_unique,edges_missing_refs,edges_missing_rel,edges_missing_srcdst,edges_per_node_valid_endpoints,edges_per_node_valid_typed,edges_self_loops_valid,edges_total,edges_valid_endpoints,edges_valid_typed,edges_with_rel,edges_with_srcdst,in_degree_max_directed,isolated_nodes_undirected,isolated_pct_undirected,malo_max,malo_min,malo_node_types,melo_max,melo_min,melo_node_types,nelo_max,nelo_min,nelo_node_types,node_count,node_count_unique,out_degree_max_directed,scc_count_directed,scc_largest_directed,tr_max,tr_min,tr_node_types
soll,catalog-9992000000018,9992000000018,0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,100.0,1,1,1,0,0,0,,0,1,3,3,0,3,1,,0,1
soll,catalog-9992000000026,9992000000026,0,1.5,0.75,0.75,1,4,0,3,1,1,0.5,1,0,1,1,3,3,0,0,0,0.75,0.75,0,3,3,3,3,3,1,0,0.0,1,1,1,1,1,1,1,0,1,4,4,3,4,1,,0,1
soll,catalog-9992000000034,9992000000034,0,1.6666666666666667,0.8333333333333334,0.8333333333333334,1,6,0,5,1,1,0.3333333333333333,2,0,1,2,5,5,0,0,0,0.8333333333333334,0.8333333333333334,0,5,5,5,5,5,1,0,0.0,2,1,2,1,1,1,1,0,1,6,6,5,6,1,,0,2
soll,catalog-9992000000042,9992000000042,0,1.7142857142857142,0.8571428571428571,0.8571428571428571,1,7,0,6,1,1,0.2857142857142857,2,0,1,3,6,6,0,0,0,0.8571428571428571,0.8571428571428571,0,6,6,6,6,6,1,0,0.0,2,2,2,1,1,1,1,0,1,7,7,6,7,1,,0,3
soll,catalog-9992000000068,9992000000068,0,1.4285714285714286,0.7142857142857143,0.7142857142857143,2,4,2,3,1,1,0.23809523809523808,2,0,1,2,5,5,0,0,0,0.7142857142857143,0.7142857142857143,0,5,5,5,5,5,1,0,0.0,,2,2,,2,2,1,0,1,7,7,3,7,1,,0,2
soll,catalog-9992000000076,9992000000076,0,1.6,0.8,0.8,2,7,2,6,1,1,0.17777777777777778,3,0,1,4,8,8,0,0,0,0.8,0.8,0,8,8,8,8,8,1,0,0.0,,3,3,,2,2,1,0,1,10,10,6,10,1,,0,4
soll,catalog-9992000000084,9992000000084,6,0.5,0.25,0.25,9,4,2,3,0,0,0.045454545454545456,1,0,1,1,3,3,0,0,0,0.25,0.25,0,3,3,3,3,3,1,8,66.66666666666666,,3,4,,3,3,1,0,1,12,12,3,12,1,,0,4
soll,catalog-9992000000109,9992000000109,0,1.5,0.75,0.75,1,4,1,3,1,1,0.5,1,0,1,1,3,3,0,0,0,0.75,0.75,0,3,3,3,3,3,1,0,0.0,1,1,1,,2,1,,0,1,4,4,3,4,1,,0,1
soll,catalog-9992000000117,9992000000117,7,0.0,0.0,0.0,9,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,9,100.0,,2,2,,1,2,,0,1,9,9,0,9,1,,0,4
soll,catalog-9992000000125,9992000000125,1,1.4545454545454546,0.7272727272727273,0.7272727272727273,3,5,1,4,1,0,0.14545454545454545,4,0,0,4,8,8,0,0,0,0.7272727272727273,0.7272727272727273,0,8,8,8,8,8,2,1,9.090909090909092,,2,3,,2,3,,0,1,11,11,4,11,1,,0,4
soll,catalog-9992000000133,9992000000133,0,1.5555555555555556,0.7777777777777778,0.7777777777777778,2,5,1,4,1,1,0.19444444444444445,3,0,1,3,7,7,0,0,0,0.7777777777777778,0.7777777777777778,0,7,7,7,7,7,1,0,0.0,,2,3,,2,2,1,0,1,9,9,4,9,1,,0,3
soll,catalog-9992000000159,9992000000159,0,1.6,0.8,0.8,2,6,0,5,1,1,0.17777777777777778,3,0,1,4,8,8,0,0,0,0.8,0.8,0,8,8,8,8,8,1,0,0.0,3,3,3,2,2,2,1,0,1,10,10,5,10,1,,0,4
soll,catalog-9992000000167,9992000000167,5,0.7692307692307693,0.38461538461538464,0.38461538461538464,8,5,2,4,1,0,0.0641025641025641,2,0,1,2,5,5,0,0,0,0.38461538461538464,0.38461538461538464,0,5,5,5,5,5,1,6,46.15384615384615,,3,4,,3,3,1,0,1,13,13,4,13,1,,0,5
soll,catalog-9992000000175,9992000000175,0,1.6,0.8,0.8,2,6,0,5,1,1,0.17777777777777778,3,0,1,4,8,8,0,0,0,0.8,0.8,0,8,8,8,8,8,1,0,0.0,3,3,3,2,2,2,1,0,1,10,10,5,10,1,,0,4
soll,catalog-9992000000183,9992000000183,0,1.5,0.75,0.75,3,5,0,4,1,1,0.13636363636363635,4,0,1,4,9,9,0,0,0,0.75,0.75,0,9,9,9,9,9,1,0,0.0,4,3,4,3,3,3,1,0,1,12,12,4,12,1,,0,4
