count,kind,%,example_graph_id,signature,signature_id
2293,ist,90.96%,comp:['50414974078']|['DE0071947684600000000000000000341'],"NT:MaLo=1,MeLo=1,TR=0,NeLo=0|ET:MEMA=1,METR=0,MENE=0,MEME=0|CC:1|DEG:1,1,1",6efad90624
101,ist,4.01%,"comp:['50414794286', '50415648028']|['DE0071947684600000000000000000738']","NT:MaLo=2,MeLo=1,TR=0,NeLo=0|ET:MEMA=2,METR=0,MENE=0,MEME=0|CC:1|DEG:1,1,2",623cabe978
80,ist,3.17%,"comp:['50414863156', '50415025416']|['DE0071947684600000000000000001508', 'DE0071947684600000000000000002800']","NT:MaLo=2,MeLo=2,TR=0,NeLo=0|ET:MEMA=3,METR=0,MENE=0,MEME=0|CC:1|DEG:1,2,2",afbaf8ef4b
9,ist,0.36%,"comp:['50414941895', '50414948312', '50415030134']|['DE0071947684600000000000000000031', 'DE0071947684600000000000000002652']","NT:MaLo=3,MeLo=2,TR=0,NeLo=0|ET:MEMA=4,METR=0,MENE=0,MEME=0|CC:1|DEG:1,2,2",2f374262a1
9,ist,0.36%,bundle:100002161955,"NT:MaLo=1,MeLo=1,TR=1,NeLo=0|ET:MEMA=1,METR=1,MENE=0,MEME=0|CC:1|DEG:1,1,2",d2ad259fa3
6,ist,0.24%,bundle:100002616793,"NT:MaLo=2,MeLo=1,TR=1,NeLo=0|ET:MEMA=2,METR=1,MENE=0,MEME=0|CC:1|DEG:1,1,3",3d1cbbb0e7
5,ist,0.20%,bundle:100003249169,"NT:MaLo=2,MeLo=1,TR=0,NeLo=1|ET:MEMA=2,METR=0,MENE=1,MEME=0|CC:1|DEG:1,1,3",be0d0f937a
5,ist,0.20%,bundle:100002988406,"NT:MaLo=3,MeLo=2,TR=1,NeLo=0|ET:MEMA=4,METR=2,MENE=0,MEME=0|CC:1|DEG:1,2,3",05fcbe5520
3,ist,0.12%,bundle:100002563743,"NT:MaLo=2,MeLo=1,TR=1,NeLo=1|ET:MEMA=2,METR=1,MENE=1,MEME=0|CC:1|DEG:1,1,4",3b20757886
1,ist,0.04%,"comp:['50414918844', '50415021117', '50415148002']|['DE0003967684600000000000053018206', 'DE0003967684600000000000053018207', 'DE0071947684600000000000000002172', 'DE0071947684600000000000000002747']","NT:MaLo=3,MeLo=4,TR=0,NeLo=0|ET:MEMA=6,METR=0,MENE=0,MEME=0|CC:1|DEG:1,2,3",8fb147d1d4
1,ist,0.04%,"comp:['50415031497', '50415263470', '50415263636']|['DE0071947684600000000000000000022']","NT:MaLo=3,MeLo=1,TR=0,NeLo=0|ET:MEMA=3,METR=0,MENE=0,MEME=0|CC:1|DEG:1,1,3",a6332cf2ce
1,ist,0.04%,bundle:100002149765,"NT:MaLo=1,MeLo=1,TR=2,NeLo=0|ET:MEMA=1,METR=2,MENE=0,MEME=0|CC:1|DEG:1,1,3",075026649f
1,ist,0.04%,bundle:100003262307,"NT:MaLo=3,MeLo=2,TR=2,NeLo=1|ET:MEMA=4,METR=3,MENE=1,MEME=0|CC:1|DEG:1,2,5",7e77b08f37
1,ist,0.04%,bundle:100003266124,"NT:MaLo=3,MeLo=2,TR=3,NeLo=1|ET:MEMA=4,METR=5,MENE=1,MEME=0|CC:1|DEG:1,2,5",64ccf90809
1,ist,0.04%,bundle:100003045702,"NT:MaLo=3,MeLo=2,TR=1,NeLo=1|ET:MEMA=4,METR=2,MENE=1,MEME=0|CC:1|DEG:1,2,4",dca1595d75
1,ist,0.04%,bundle:100003262313,"NT:MaLo=3,MeLo=2,TR=1,NeLo=0|ET:MEMA=4,METR=1,MENE=0,MEME=0|CC:1|DEG:1,1,3",8ab8d4cad9
1,ist,0.04%,bundle:100002627035,"NT:MaLo=2,MeLo=1,TR=2,NeLo=0|ET:MEMA=2,METR=2,MENE=0,MEME=0|CC:1|DEG:1,1,4",c0dc24afe2
1,ist,0.04%,bundle:100003124197,"NT:MaLo=3,MeLo=2,TR=0,NeLo=1|ET:MEMA=4,METR=0,MENE=1,MEME=0|CC:1|DEG:1,1,3",b0facc4164
1,ist,0.04%,bundle:100003120593,"NT:MaLo=3,MeLo=2,TR=2,NeLo=0|ET:MEMA=4,METR=4,MENE=0,MEME=0|CC:1|DEG:1,2,4",c508c43a0c
