lbs_code,ist_fitting_new,ist_fitting_sdf,ist_graphs_fitting_total,malo_max,malo_min,melo_max,melo_min,nelo_max,nelo_min,templates_graph_id,tr_max,tr_min
9992000000034,30,2389,2419,2,1,1,1,1,0,catalog-9992000000034,,0
9992000000026,10,2293,2303,1,1,1,1,1,0,catalog-9992000000026,,0
9992000000117,38,180,218,,2,,1,,0,catalog-9992000000117,,0
9992000000042,20,96,116,2,2,1,1,1,0,catalog-9992000000042,,0
9992000000068,18,83,101,,2,,2,1,0,catalog-9992000000068,,0
9992000000125,18,83,101,,2,,2,,0,catalog-9992000000125,,0
9992000000133,18,83,101,,2,,2,1,0,catalog-9992000000133,,0
9992000000076,18,3,21,,3,,2,1,0,catalog-9992000000076,,0
9992000000159,18,2,20,3,3,2,2,1,0,catalog-9992000000159,,0
9992000000175,18,2,20,3,3,2,2,1,0,catalog-9992000000175,,0
9992000000084,,1,1,,3,,3,1,0,catalog-9992000000084,,0
9992000000167,,1,1,,3,,3,1,0,catalog-9992000000167,,0
9992000000018,,,0,1,1,0,0,,0,catalog-9992000000018,,0
9992000000109,,,0,1,1,,2,,0,catalog-9992000000109,,0
9992000000183,,,0,4,3,3,3,1,0,catalog-9992000000183,,0
