ExterneID;MaLo (Anlage);Anlage;Bis-Datum;Ab-Datum;Art der technischen Ressource;Verbrauchsart;Wärmenutzung;Ref. zur TR
D1280841753;50803724604;4000017894;31.12.9999;;Z17;ZE5;;
D1280848759;50803980420;4000125268;31.12.9999;;Z17;Z65;Z56;
D1280847941;50805783921;4000162263;31.12.9999;;Z17;Z65;Z56;
D1280850803;50806361974;4000387274;31.12.9999;;Z17;ZE5;;
D1280850811;50806361974;4000387274;31.12.9999;;Z56;;;
D1280842909;50803368014;4000402339;31.12.9999;;Z17;ZE5;;
D1280842917;50804014575;4000402657;31.12.9999;;Z17;Z65;Z57;
D1280842280;50804015028;4000402665;31.12.9999;;Z17;ZE5;;
D1280847470;50804805718;4000504016;31.12.9999;;Z17;Z65;Z56;
D1280847751;50804547394;4000518713;31.12.9999;;Z17;Z65;Z56;
D1280843634;50807143090;4000648238;31.12.9999;;Z17;ZE5;;
D1280851372;50811290952;4000688547;31.12.9999;;Z56;;;
D1280852990;50811686937;4000798731;31.12.9999;;Z56;;;
D1280850093;50810945970;4001046030;31.12.9999;;Z56;;;
D1280851273;50810657799;4001329973;31.12.9999;;Z56;;;
D1280841703;50810954252;4001401655;31.12.9999;;Z56;;;
D1280841711;50810954252;4001401655;31.12.9999;;Z17;Z65;Z57;
D1280851380;50806668073;4001479473;31.12.9999;;Z56;;;
D1280851299;50808595125;4001483821;31.12.9999;;Z17;Z65;Z57;
D1280848858;50809050003;4001909236;31.12.9999;;Z56;;;
D1280851067;50808630864;4002131067;31.12.9999;;Z17;ZE5;;
D1280851075;50808630864;4002131067;31.12.9999;;Z56;;;
D1280851207;50810471248;4002179710;31.12.9999;;Z56;;;
D1280851405;50808488578;4002305841;31.12.9999;;Z17;Z65;ZV7;
D1280843486;50804530828;4002372244;31.12.9999;;Z17;Z65;Z56;
D1280843783;50804530828;4002372244;31.12.9999;;Z17;Z65;Z56;
D1280847545;50805598453;4002385496;31.12.9999;;Z17;Z65;Z56;
D1280842743;50812544019;4002396321;31.12.9999;;Z17;Z65;ZV5;
D1280850796;50807298291;4002679403;31.12.9999;;Z17;Z65;ZV5;
D1280842850;50808076737;4002711768;31.12.9999;;Z17;Z65;Z57;
D1280842800;50809546987;4200052038;31.12.9999;;Z17;ZE5;;
D1280841696;50818791557;4202006443;31.12.9999;;Z17;Z65;Z57;
D1280841802;51542536409;4202040843;31.12.9999;;Z17;Z64;ZV6;
D1280841810;51542536409;4202040843;31.12.9999;;Z17;Z64;ZV7;
D1280851398;50819606052;4202247599;31.12.9999;;Z17;Z65;Z57;
D1280850770;50819673316;4202260301;31.12.9999;;Z56;;;
D1280850770;50819773067;4202278733;31.12.9999;;Z56;;;
D1280851372;50819843951;4202291309;31.12.9999;;Z56;;;
D1280852990;50819845965;4202291625;31.12.9999;;Z56;;;
D1280850093;50819970043;4202363584;31.12.9999;;Z56;;;
D1280851075;50820002752;4202369567;31.12.9999;;Z56;;;
D1280841703;50820012412;4202371154;31.12.9999;;Z56;;;
D1280850811;50820017850;4202372077;31.12.9999;;Z56;;;
D1280851380;50820030860;4202374334;31.12.9999;;Z56;;;
D1280851273;50820032949;4202374704;31.12.9999;;Z56;;;
D1280851207;50820036339;4202375322;31.12.9999;;Z56;;;
D1280848858;50820096648;4202385430;31.12.9999;;Z56;;;
